bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	20000629	20000628	BOE-A-2000-12140	
aunico	Artículo único	1	20000629	20000628	BOE-A-2000-12140	
dfunica	Disposición final única	1	20000629	20000628	BOE-A-2000-12140	
firma		1	20000629	20000628	BOE-A-2000-12140	
texto	TEXTO	1	20000629	20000628	BOE-A-2000-12140	
ci	CAPÍTULO I	1	20000629	20000628	BOE-A-2000-12140	
a1	Artículo 1	1	20000629	20000628	BOE-A-2000-12140	
a2	Artículo 2	2	20140101	20131226	BOE-A-2013-13616	
a3	Artículo 3	1	20000629	20000628	BOE-A-2000-12140	
cii	CAPÍTULO II	1	20000629	20000628	BOE-A-2000-12140	
a4	Artículo 4	1	20000629	20000628	BOE-A-2000-12140	
a5	Artículo 5	1	20000629	20000628	BOE-A-2000-12140	
a6	Artículo 6	1	20000629	20000628	BOE-A-2000-12140	
ciii	CAPÍTULO III	1	20000629	20000628	BOE-A-2000-12140	
s1	Sección 1	1	20000629	20000628	BOE-A-2000-12140	
a7	Artículo 7	2	20170629	20170628	BOE-A-2017-7387	
a8	Artículo 8	2	20170629	20170628	BOE-A-2017-7387	
a9	Artículo 9	1	20000629	20000628	BOE-A-2000-12140	
s2	Sección 2	1	20000629	20000628	BOE-A-2000-12140	
a10	Artículo 10	4	20220101	20211229	BOE-A-2021-21653	
civ	CAPÍTULO IV	1	20000629	20000628	BOE-A-2000-12140	
a11	Artículo 11	2	20250303	20241221	BOE-A-2024-26693	
a12	Artículo 12	4	20250303	20241221	BOE-A-2024-26693	
cv	CAPÍTULO V	1	20000629	20000628	BOE-A-2000-12140	
s1-2	Sección 1	1	20000629	20000628	BOE-A-2000-12140	
a13	Artículo 13	1	20000629	20000628	BOE-A-2000-12140	
a14	Artículo 14	2	20250303	20241221	BOE-A-2024-26693	
a15	Artículo 15	2	20140101	20131226	BOE-A-2013-13616	
a16	Artículo 16	2	20140101	20131226	BOE-A-2013-13616	
a17	Artículo 17	1	20000629	20000628	BOE-A-2000-12140	
s2-2	Sección 2	1	20000629	20000628	BOE-A-2000-12140	
a18	Artículo 18	3	20250303	20241221	BOE-A-2024-26693	
a19	Artículo 19	4	20250303	20241221	BOE-A-2024-26693	
a20	Artículo 20	4	20090113	20081224	BOE-A-2008-20744	
a21	Artículo 21	6	20250303	20241221	BOE-A-2024-26693	
a22	Artículo 22	4	20090113	20081224	BOE-A-2008-20744	
s3	Sección 3	1	20000629	20000628	BOE-A-2000-12140	
a23	Artículo 23	1	20000629	20000628	BOE-A-2000-12140	
a24	Artículo 24	1	20000629	20000628	BOE-A-2000-12140	
a25	Artículo 25	1	20000629	20000628	BOE-A-2000-12140	
a26	Artículo 26	1	20000629	20000628	BOE-A-2000-12140	
a27	Artículo 27	1	20000629	20000628	BOE-A-2000-12140	
a28	Artículo 28	1	20000629	20000628	BOE-A-2000-12140	
s4	Sección 4	1	20000629	20000628	BOE-A-2000-12140	
a29	Artículo 29	1	20000629	20000628	BOE-A-2000-12140	
s5	Sección 5	1	20000629	20000628	BOE-A-2000-12140	
a30	Artículo 30	1	20000629	20000628	BOE-A-2000-12140	
a31	Artículo 31	1	20000629	20000628	BOE-A-2000-12140	
a32	Artículo 32	1	20000629	20000628	BOE-A-2000-12140	
cvi	CAPÍTULO VI	1	20000629	20000628	BOE-A-2000-12140	
s1-3	Sección 1	1	20000629	20000628	BOE-A-2000-12140	
a33	Artículo 33	1	20000629	20000628	BOE-A-2000-12140	
a34	Artículo 34	1	20000629	20000628	BOE-A-2000-12140	
a35	Artículo 35	2	20220101	20211229	BOE-A-2021-21653	
s2-3	Sección 2	1	20000629	20000628	BOE-A-2000-12140	
a36	Artículo 36	1	20000629	20000628	BOE-A-2000-12140	
cvii	CAPÍTULO VII	1	20000629	20000628	BOE-A-2000-12140	
a37	Artículo 37	1	20000629	20000628	BOE-A-2000-12140	
daprimera	Disposición adicional primera	2	20170629	20170628	BOE-A-2017-7387	
dasegunda	Disposición adicional segunda	1	20000629	20000628	BOE-A-2000-12140	
datercera	Disposición adicional tercera	1	20000629	20000628	BOE-A-2000-12140	
dacuarta	Disposición adicional cuarta	1	20000629	20000628	BOE-A-2000-12140	
daquinta	Disposición adicional quinta	2	20090113	20081224	BOE-A-2008-20744	
dasexta	Disposición adicional sexta	2	20110112	20101223	BOE-A-2010-19703	
daseptima	Disposición adicional séptima	1	20000629	20000628	BOE-A-2000-12140	
daoctava	Disposición adicional octava	2	20030101	20021231	BOE-A-2002-25412	
danovena	Disposición adicional novena	1	20000629	20000628	BOE-A-2000-12140	
dadecima	Disposición adicional décima	2	20180705	20180704	BOE-A-2018-9268	
ddunica	Disposición derogatoria única	1	20000629	20000628	BOE-A-2000-12140	
dfprimera	Disposición final primera	1	20000629	20000628	BOE-A-2000-12140	
dfsegunda	Disposición final segunda	1	20000629	20000628	BOE-A-2000-12140	
dftercera	Disposición final tercera	1	20000629	20000628	BOE-A-2000-12140	
