puesto	tema	tipo	escrito_en_puesto	escrito_en_tema	semejanza	enunciado
8	17	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas.
28	1	nuevo				Fundamentos de sonido: ondas, frecuencia, amplitud, fase, dinámica, timbre, audición y acústica básica.
28	2	nuevo				Electricidad y electrónica aplicada al audio: niveles, impedancias, balanceado, masa, ruido y alimentación phantom.
28	3	nuevo				Microfonía: tipos, patrones polares, sensibilidad, colocación, soportes, inalámbricos y accesorios.
28	4	nuevo				Consolas de mezcla analógicas y digitales: niveles, entradas, salidas, buses, auxiliares, grupos, matrices, automatización y escenas.
28	5	nuevo				Procesamiento de audio: ecualización, dinámica, compresión, limitación, puertas, filtros, reverberación y efectos.
28	6	nuevo				Captación de sonido en informativos, exteriores, eventos, deportes, ficción, musicales y documentales.
28	7	nuevo				Sonido en radio: microfonía, mesa, híbridos, RDSI/IP, codecs, telefonía, streaming y podcast.
28	8	nuevo				Sonido en televisión: intercom, IFB, retornos, mezcla para emisión, coordinación con realización y cámaras.
28	9	nuevo				Grabación, edición y postproducción: Músicas, cuñas, ráfagas y continuidad, DAW, pistas, sincronía, doblaje, limpieza, mezcla y entrega.
28	10	nuevo				Sonorización: altavoces, amplificadores, PA, monitores, cobertura, realimentación y acústica de salas.
28	11	nuevo				Líneas y conexiones: XLR, jack, BNC, Dante/AES67, MADI, AES/EBU, ADAT, SDI, embebido y desembebido.
28	12	nuevo				Radiofrecuencia aplicada a microfonía inalámbrica: antenas, coordinación de frecuencias e interferencias.
28	13	nuevo				Medición y sonoridad: LUFS, EBU R128, picos, loudness, fases y control de calidad.
28	14	nuevo				Audio multicanal, Dolby, 5.1, estéreo, mono, downmix y compatibilidad.
28	15	nuevo				Audio sobre IP, redes, sincronía, latencia, PTP y redundancia.
28	16	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas.
30	1	nuevo				Lenguaje y montaje audiovisual: ritmo, continuidad, raccord, elipsis, eje, estructura narrativa y tratamiento informativo. Estilos de edición según el género.
30	2	nuevo				Conocimientos y fundamentos de la señal de vídeo y audio.
30	3	nuevo				Sistemas de edición no lineal: proyectos, bins, timeline, códecs, proxies, conformado y exportación.
30	4	nuevo				Formatos de vídeo y audio: resolución, compresión, HD, UHD, HDR, códecs, frame rate, bitrate, contenedores, compresión, SDI/IP y estándares de entrega.
30	5	nuevo				Montaje de noticias: criterio editorial, selección de planos, colas, totales, entradillas, locución y cierre.
30	6	nuevo				Montaje de programas, promociones, piezas culturales, deportes y contenidos digitales.
30	7	nuevo				Postproducción: color básico, corrección, efectos, grafismo, subtítulos, transiciones y limpieza de audio.
30	8	nuevo				Ingesta, digitalización, transferencia, verificación, copias de seguridad, metadatos y archivo.
30	9	nuevo				Coordinación con redacción, realización, producción, documentación, grafismo y sonido.
30	10	nuevo				Derechos de autor, imagen, música, archivo, créditos y uso de materiales de terceros.
30	11	nuevo				Accesibilidad: subtítulos, audiodescripción, lectura fácil y versiones para plataformas.
30	12	nuevo				Edición para redes y plataformas: formatos verticales, clips, miniaturas, ritmo y distribución multiplataforma.
30	13	nuevo				Automatización, plantillas, MAM/PAM, newsroom y flujos de producción integrados.
30	14	nuevo				Gestión de urgencia informativa, directos, cambios de última hora y versionado.
30	15	nuevo				Organización de proyectos, nomenclatura, trazabilidad y buenas prácticas colaborativas.
