bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
preambulo		1	20010821	20010621	BOE-A-2001-11881	
a1	Artículo 1	1	20010821	20010621	BOE-A-2001-11881	
a2	Artículo 2	1	20010821	20010621	BOE-A-2001-11881	
a3	Artículo 3	1	20010821	20010621	BOE-A-2001-11881	
a4	Artículo 4	1	20010821	20010621	BOE-A-2001-11881	
a5	Artículo 5	1	20010821	20010621	BOE-A-2001-11881	
a6	Artículo 6	1	20010821	20010621	BOE-A-2001-11881	
ddunica	Disposición derogatoria única	1	20010821	20010621	BOE-A-2001-11881	
dfprimera	Disposición final primera	1	20010821	20010621	BOE-A-2001-11881	
dfsegunda	Disposición final segunda	1	20010821	20010621	BOE-A-2001-11881	
dftercera	Disposición final tercera	1	20010821	20010621	BOE-A-2001-11881	
firma		1	20010821	20010621	BOE-A-2001-11881	
ani	ANEXO I	1	20010821	20010621	BOE-A-2001-11881	
anii	ANEXO II	1	20010821	20010621	BOE-A-2001-11881	
aniii	ANEXO III	1	20010821	20010621	BOE-A-2001-11881	
aniv	ANEXO IV	1	20010821	20010621	BOE-A-2001-11881	
anv	ANEXO V	1	20010821	20010621	BOE-A-2001-11881	
anvi	ANEXO VI	1	20010821	20010621	BOE-A-2001-11881	
