bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
no		1	19950216	19950127	BOE-A-1995-2122	
preambulo		1	19950216	19950127	BOE-A-1995-2122	
aunico	Artículo único	1	19950216	19950127	BOE-A-1995-2122	
primera	Disposición transitoria primera	1	19950216	19950127	BOE-A-1995-2122	
segunda	Disposición transitoria segunda	1	19950216	19950127	BOE-A-1995-2122	
tercera	Disposición transitoria tercera	1	19950216	19950127	BOE-A-1995-2122	
dd	Disposición derogatoria única	1	19950216	19950127	BOE-A-1995-2122	
primera-2	Disposición final primera	1	19950216	19950127	BOE-A-1995-2122	
segunda-2	Disposición final segunda	1	19950216	19950127	BOE-A-1995-2122	
firma		1	19950216	19950127	BOE-A-1995-2122	
an	ANEXO	1	19950216	19950127	BOE-A-1995-2122	
ai	ANEXO I	1	19980809	19980808	BOE-A-1998-19183	
ci	CAPITULO I	1	19950216	19950127	BOE-A-1995-2122	
a1	Artículo 1	1	19950216	19950127	BOE-A-1995-2122	
a2	Artículo 2	2	19991122	19991022	BOE-A-1999-20723	
a3	Artículo 3	1	19950216	19950127	BOE-A-1995-2122	
cii	CAPITULO II	1	19950216	19950127	BOE-A-1995-2122	
a4	Artículo 4	2	20100523	20100522	BOE-A-2010-8190	
a5	Artículo 5	1	19950216	19950127	BOE-A-1995-2122	
ciii	CAPITULO III	1	19950216	19950127	BOE-A-1995-2122	
a6	Artículo 6	4	20200701	20200620	BOE-A-2020-6472	
a7	Artículo 7	1	19950216	19950127	BOE-A-1995-2122	
a8	Artículo 8	3	20100523	20100522	BOE-A-2010-8190	
civ	CAPITULO IV	1	19950216	19950127	BOE-A-1995-2122	
a9	Artículo 9	1	19950216	19950127	BOE-A-1995-2122	
cv	CAPITULO V	1	19950216	19950127	BOE-A-1995-2122	
a10	Artículo 10	3	20171102	20170802	BOE-A-2017-9188	
cvi	CAPITULO VI	1	19950216	19950127	BOE-A-1995-2122	
a11	Artículo 11	2	20171102	20170802	BOE-A-2017-9188	
a1-4	Artículo 12	1	20171102	20170802	BOE-A-2017-9188	
instrucciontecnicacomplementariamiip01«refinerias»	INSTRUCCIÓN TÉCNICA COMPLEMENTARIA MI-IP 01 «REFINERIAS»	0				NO SERVIDO POR EL BOE
ci-2	CAPITULO I	1	19950727	19950127	BOE-A-1995-2122	
a1-2	Artículo 1	1	19950727	19950127	BOE-A-1995-2122	
a2-2	Artículo 2	1	19950727	19950127	BOE-A-1995-2122	
a3-2	Artículo 3	1	19950727	19950127	BOE-A-1995-2122	
a4-2	Artículo 4	1	19950727	19950127	BOE-A-1995-2122	
a5-2	Artículo 5	1	19950727	19950127	BOE-A-1995-2122	
cii-2	CAPITULO II	1	19950727	19950127	BOE-A-1995-2122	
a6-2	Artículo 6	1	19950727	19950127	BOE-A-1995-2122	
a7-2	Artículo 7	1	19950727	19950127	BOE-A-1995-2122	
a8-2	Artículo 8	1	19950727	19950127	BOE-A-1995-2122	
a9-2	Artículo 9	1	19950727	19950127	BOE-A-1995-2122	
a10-2	Artículo 10	1	19950727	19950127	BOE-A-1995-2122	
a11-2	Artículo 11	1	19950727	19950127	BOE-A-1995-2122	
a12	Artículo 12	1	19950727	19950127	BOE-A-1995-2122	
a13	Artículo 13	1	19950727	19950127	BOE-A-1995-2122	
a14	Artículo 14	1	19950727	19950127	BOE-A-1995-2122	
a15	Artículo 15	1	19950727	19950127	BOE-A-1995-2122	
a16	Artículo 16	2	19950727	19950127	BOE-A-1995-2122	
a17	Artículo 17	1	19950727	19950127	BOE-A-1995-2122	
a18	Artículo 18	1	19950727	19950127	BOE-A-1995-2122	
a19	Artículo 19	1	19950727	19950127	BOE-A-1995-2122	
a20	Artículo 20	1	19950727	19950127	BOE-A-1995-2122	
a21	Artículo 21	1	19950727	19950127	BOE-A-1995-2122	
a22	Artículo 22	1	19950727	19950127	BOE-A-1995-2122	
a23	Artículo 23	1	19950727	19950127	BOE-A-1995-2122	
a24	Artículo 24	1	19950727	19950127	BOE-A-1995-2122	
a25	Artículo 25	1	19950727	19950127	BOE-A-1995-2122	
a26	Artículo 26	1	19950727	19950127	BOE-A-1995-2122	
a27	Artículo 27	1	19950727	19950127	BOE-A-1995-2122	
a28	Artículo 28	1	19950727	19950127	BOE-A-1995-2122	
a29	Artículo 29	1	19950727	19950127	BOE-A-1995-2122	
a30	Artículo 30	1	19950727	19950127	BOE-A-1995-2122	
a31	Artículo 31	1	19950727	19950127	BOE-A-1995-2122	
a32	Artículo 32	1	19950727	19950127	BOE-A-1995-2122	
ciii-2	CAPITULO III	1	19950727	19950127	BOE-A-1995-2122	
a33	Artículo 33	1	19950727	19950127	BOE-A-1995-2122	
a34	Artículo 34	1	19950727	19950127	BOE-A-1995-2122	
instrucciontecnicacomplementariamiip02	INSTRUCCIÓN TÉCNICA COMPLEMENTARIA MI-IP02	2	19980809	19980808	BOE-A-1998-19183	
ci-3	CAPITULO I	2	19980809	19980808	BOE-A-1998-19183	
a1-3	Artículo 1	2	19980809	19980808	BOE-A-1998-19183	
a2-3	Artículo 2	2	19980809	19980808	BOE-A-1998-19183	
a3-3	Artículo 3	2	19980809	19980808	BOE-A-1998-19183	
a4-3	Artículo 4	2	19980809	19980808	BOE-A-1998-19183	
a5-3	Artículo 5	2	19980809	19980808	BOE-A-1998-19183	
cii-3	CAPITULO II	1	19950226	19950127	BOE-A-1995-2122	
a6-3	Artículo 6	2	19980809	19980808	BOE-A-1998-19183	
cii-4	CAPÍTULO II	1	19980809	19980808	BOE-A-1998-19183	
a7-3	Artículo 7	2	19980809	19980808	BOE-A-1998-19183	
a8-3	Artículo 8	2	19980809	19980808	BOE-A-1998-19183	
a9-3	Artículo 9	2	19980809	19980808	BOE-A-1998-19183	
ciii-3	CAPÍTULO III	1	19980809	19980808	BOE-A-1998-19183	
a10-3	Artículo 10	2	19980809	19980808	BOE-A-1998-19183	
a11-3	Artículo 11	2	19980809	19980808	BOE-A-1998-19183	
civ-2	CAPÍTULO IV	1	19980809	19980808	BOE-A-1998-19183	
a12-2	Artículo 12	2	19980809	19980808	BOE-A-1998-19183	
a13-2	Artículo 13	2	19980809	19980808	BOE-A-1998-19183	
a14-2	Artículo 14	2	19980809	19980808	BOE-A-1998-19183	
a15-2	Artículo 15	2	19980809	19980808	BOE-A-1998-19183	
a16-2	Artículo 16	2	19980809	19980808	BOE-A-1998-26736	
a17-2	Artículo 17	2	19980809	19980808	BOE-A-1998-19183	
a18-2	Artículo 18	2	19980809	19980808	BOE-A-1998-19183	
a19-2	Artículo 19	2	19980809	19980808	BOE-A-1998-19183	
a20-2	Artículo 20	2	19980809	19980808	BOE-A-1998-19183	
a21-2	Artículo 21	2	19980809	19980808	BOE-A-1998-19183	
cv-2	CAPÍTULO V	1	19980809	19980808	BOE-A-1998-19183	
a22-2	Artículo 22	2	19980809	19980808	BOE-A-1998-19183	
a23-2	Artículo 23	2	19980809	19980808	BOE-A-1998-19183	
a24-2	Artículo 24	2	19980809	19980808	BOE-A-1998-26736	
a25-2	Artículo 25	2	19980809	19980808	BOE-A-1998-19183	
a26-2	Artículo 26	2	19980809	19980808	BOE-A-1998-19183	
ciii-4	CAPITULO III	1	19950216	19950127	BOE-A-1995-2122	
a27-2	Artículo 27	2	19980809	19980808	BOE-A-1998-19183	
a28-2	Artículo 28	2	19980809	19980808	BOE-A-1998-19183	
a29-2	Artículo 29	1	19980809	19980808	BOE-A-1998-19183	
a30-2	Artículo 30	1	19980809	19980808	BOE-A-1998-19183	
a31-2	Artículo 31	1	19980809	19980808	BOE-A-1998-19183	
a32-2	Artículo 32	1	19980809	19980808	BOE-A-1998-19183	
a33-2	Artículo 33	1	19980809	19980808	BOE-A-1998-19183	
cvi-2	CAPÍTULO VI	1	19980809	19980808	BOE-A-1998-19183	
a34-2	Artículo 34	1	19980809	19980808	BOE-A-1998-19183	
