bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
cvii	CAPÍTULO VII	1	19980809	19980808	BOE-A-1998-19183	
a35	Artículo 35	1	19980809	19980808	BOE-A-1998-19183	
a36	Artículo 36	1	19980809	19980808	BOE-A-1998-19183	
a37	Artículo 37	1	19980809	19980808	BOE-A-1998-19183	
cviii	CAPÍTULO VIII	1	19980809	19980808	BOE-A-1998-19183	
a38	Artículo 38	1	19980809	19980808	BOE-A-1998-19183	
a39	Artículo 39	1	19980809	19980808	BOE-A-1998-19183	
a40	Artículo 40	1	19980809	19980808	BOE-A-1998-19183	
a41	Artículo 41	1	19980809	19980808	BOE-A-1998-19183	
a42	Artículo 42	1	19980809	19980808	BOE-A-1998-19183	
cix	CAPÍTULO IX	1	19980809	19980808	BOE-A-1998-19183	
a43	Artículo 43	1	19980809	19980808	BOE-A-1998-19183	
a44	Artículo 44	1	19980809	19980808	BOE-A-1998-19183	
a45	Artículo 45	1	19980809	19980808	BOE-A-1998-19183	
cx	CAPÍTULO X	1	19980809	19980808	BOE-A-1998-19183	
a46	Artículo 46	1	19980809	19980808	BOE-A-1998-19183	
an-2	Normas admitidas para el cumplimiento de la instrucción MI-IP-02	1	19980809	19980808	BOE-A-1998-19183	
