bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
co		2	20130223	20130222	BOE-A-2013-1969	
preambulo		1	20130223	20130222	BOE-A-2013-1969	
aunico	Artículo único	1	20130223	20130222	BOE-A-2013-1969	
daprimera	Disposición adicional primera	1	20130223	20130222	BOE-A-2013-1969	
dasegunda	Disposición adicional segunda	1	20130223	20130222	BOE-A-2013-1969	
datercera	Disposición adicional tercera	1	20130223	20130222	BOE-A-2013-1969	
dacuaa	Disposición adicional cuarta	1	20130223	20130222	BOE-A-2013-1969	
daquinta	Disposición adicional quinta	1	20130223	20130222	BOE-A-2013-1969	
dasexta	Disposición adicional sexta	1	20130223	20130222	BOE-A-2013-1969	
daseptima	Disposición adicional séptima	1	20130223	20130222	BOE-A-2013-1969	
dtprimera	Disposición transitoria primera	1	20130223	20130222	BOE-A-2013-1969	
dtsegunda	Disposición transitoria segunda	1	20130223	20130222	BOE-A-2013-1969	
dttercera	Disposición transitoria tercera	1	20130223	20130222	BOE-A-2013-1969	
ddunica	Disposición derogatoria única	1	20130223	20130222	BOE-A-2013-1969	
dfprimera	Disposición final primera	1	20130223	20130222	BOE-A-2013-1969	
dfsegunda	Disposición final segunda	1	20130223	20130222	BOE-A-2013-1969	
firma		1	20130223	20130222	BOE-A-2013-1969	
instruccion	INSTRUCCIÓN	3	20210701	20210428	BOE-A-2021-6879	
ani	ANEXO I	1	20130223	20130222	BOE-A-2013-1969	
anii	ANEXO II	1	20130223	20130222	BOE-A-2013-1969	
aniii	ANEXO III	1	20130223	20130222	BOE-A-2013-1969	
aniv	ANEXO IV	1	20130223	20130222	BOE-A-2013-1969	
anv	ANEXO V	1	20130223	20130222	BOE-A-2013-1969	
anvi	ANEXO VI	1	20130223	20130222	BOE-A-2013-1969	
anvii	ANEXO VII	1	20130223	20130222	BOE-A-2013-1969	
anviii	ANEXO VIII	1	20130223	20130222	BOE-A-2013-1969	
anix	ANEXO IX	1	20130223	20130222	BOE-A-2013-1969	
ax	ANEXO X	1	20210701	20210428	BOE-A-2021-6879	
ir	[Información relacionada]	1	20130223	20130222	BOE-A-2013-1969	
