bloque	titulo	redacciones	vigencia	publicacion	norma	aviso
no		1	19960301	19960227	BOE-A-1996-4447	
preambulo		1	19960301	19960227	BOE-A-1996-4447	
aunico	Artículo único	1	19960301	19960227	BOE-A-1996-4447	
ddunica	Disposición derogatoria única	1	19960301	19960227	BOE-A-1996-4447	
dfunica	Disposición final única	1	19960301	19960227	BOE-A-1996-4447	
firma		1	19960301	19960227	BOE-A-1996-4447	
reglamento	REGLAMENTO	1	19960301	19960227	BOE-A-1996-4447	
ti	TITULO I	1	19960301	19960227	BOE-A-1996-4447	
cunico	CAPITULO UNICO	1	19960301	19960227	BOE-A-1996-4447	
a1	Artículo 1	1	19960301	19960227	BOE-A-1996-4447	
a2	Artículo 2	1	19960301	19960227	BOE-A-1996-4447	
a3	Artículo 3	2	20090329	20090328	BOE-A-2009-5128	
a4	Artículo 4	1	19960301	19960227	BOE-A-1996-4447	
tii	TITULO II	1	19960301	19960227	BOE-A-1996-4447	
ci	CAPITULO I	1	19960301	19960227	BOE-A-1996-4447	
a5	Artículo 5	3	20090329	20090328	BOE-A-2009-5128	
a6	Artículo 6	1	19960301	19960227	BOE-A-1996-4447	
a7	Artículo 7	1	19960301	19960227	BOE-A-1996-4447	
a8	Artículo 8	1	19960301	19960227	BOE-A-1996-4447	
a9	Artículo 9	1	19960301	19960227	BOE-A-1996-4447	
cii	CAPITULO II	1	19960301	19960227	BOE-A-1996-4447	
a10	Artículo 10	4	20130101	20121231	BOE-A-2012-15764	
a11	Artículo 11	6	20150726	20150725	BOE-A-2015-8339	
a12	Artículo 12	1	19960301	19960227	BOE-A-1996-4447	
a13	Artículo 13	1	19960301	19960227	BOE-A-1996-4447	
a14	Artículo 14	4	20090329	20090328	BOE-A-2009-5128	
a15	Artículo 15	1	19960301	19960227	BOE-A-1996-4447	
a16	Artículo 16	2	20130101	20121231	BOE-A-2012-15764	
a17	Artículo 17	5	20150726	20150725	BOE-A-2015-8339	
a18	Artículo 18	2	20150726	20150725	BOE-A-2015-8339	
a19	Artículo 19	1	19960301	19960227	BOE-A-1996-4447	
a20	Artículo 20	3	20150726	20150725	BOE-A-2015-8339	
ciii	CAPITULO III	1	19960301	19960227	BOE-A-1996-4447	
a21	Artículo 21	2	20060916	20050916	BOE-A-2005-15366	
a22	Artículo 22	1	19960301	19960227	BOE-A-1996-4447	
a23	Artículo 23	1	19960301	19960227	BOE-A-1996-4447	
a24	Artículo 24	1	19960301	19960227	BOE-A-1996-4447	
a25	Artículo 25	1	19960301	19960227	BOE-A-1996-4447	
a26	Artículo 26	1	19960301	19960227	BOE-A-1996-4447	
a27	Artículo 27	1	19960301	19960227	BOE-A-1996-4447	
a28	Artículo 28	2	20150726	20150725	BOE-A-2015-8339	
civ	CAPITULO IV	1	19960301	19960227	BOE-A-1996-4447	
a29	Artículo 29	3	20090401	20090321	BOE-A-2009-4724	
a30	Artículo 30	7	20150726	20150725	BOE-A-2015-8339	
a31	Artículo 31	2	20180805	20180804	BOE-A-2018-11137	
a32	Artículo 32	3	20150726	20150725	BOE-A-2015-8339	
cv	CAPITULO V	1	19960301	19960227	BOE-A-1996-4447	
a33	Artículo 33	1	19960301	19960227	BOE-A-1996-4447	
a34	Artículo 34	1	19960301	19960227	BOE-A-1996-4447	
a35	Artículo 35	7	20180805	20180804	BOE-A-2018-11137	
a36	Artículo 36	2	20050320	20050319	BOE-A-2005-4577	
a37	Artículo 37	2	20150726	20150725	BOE-A-2015-8339	
cvi	CAPITULO VI	1	19960301	19960227	BOE-A-1996-4447	
a38	Artículo 38	1	19960301	19960227	BOE-A-1996-4447	
a39	Artículo 39	2	20051001	20050916	BOE-A-2005-15366	
a40	Artículo 40	3	20080911	20080910	BOE-A-2008-14777	
a41	Artículo 41	5	20080911	20080910	BOE-A-2008-14777	
a42	Artículo 42	2	20051001	20050916	BOE-A-2005-15366	
a43	Artículo 43	4	20150901	20150725	BOE-A-2015-8339	
a44	Artículo 44	2	19990501	19990501	BOE-A-1999-9746	
a45	Artículo 45	4	20080911	20080910	BOE-A-2008-14777	
a46	Artículo 46	6	20180101	20171025	BOE-A-2017-12207	
a47	Artículo 47	5	20080911	20080910	BOE-A-2008-14777	
a47bis	Artículo 47 bis	2	20080911	20080910	BOE-A-2008-14777	
a48	Artículo 48	4	20180101	20171025	BOE-A-2017-12207	
a49	Artículo 49	4	20130101	20121231	BOE-A-2012-15764	
a50	Artículo 50	2	20051001	20050916	BOE-A-2005-15366	
tiii	TITULO III	1	19960301	19960227	BOE-A-1996-4447	
ci-2	CAPITULO I	1	19960301	19960227	BOE-A-1996-4447	
a51	Artículo 51	1	19960301	19960227	BOE-A-1996-4447	
a52	Artículo 52	3	20150726	20150725	BOE-A-2015-8339	
a53	Artículo 53	1	19960301	19960227	BOE-A-1996-4447	
cii-2	CAPITULO II	1	19960301	19960227	BOE-A-1996-4447	
a54	Artículo 54	1	19960301	19960227	BOE-A-1996-4447	
a55	Artículo 55	1	19960301	19960227	BOE-A-1996-4447	
a56	Artículo 56	1	19960301	19960227	BOE-A-1996-4447	
ciii-2	CAPITULO III	1	19960301	19960227	BOE-A-1996-4447	
a57	Artículo 57	1	19960301	19960227	BOE-A-1996-4447	
a58	Artículo 58	2	20090329	20090328	BOE-A-2009-5128	
a59	Artículo 59	2	20150726	20150725	BOE-A-2015-8339	
a60	Artículo 60	1	19960301	19960227	BOE-A-1996-4447	
a61	Artículo 61	2	20150726	20150725	BOE-A-2015-8339	
a62	Artículo 62	1	19960301	19960227	BOE-A-1996-4447	
civ-2	CAPITULO IV	1	19960301	19960227	BOE-A-1996-4447	
a63	Artículo 63	2	20051001	20050916	BOE-A-2005-15366	
daprimera	Disposición adicional primera	1	19960301	19960227	BOE-A-1996-4447	
dasegunda	Disposición adicional segunda	1	19960301	19960227	BOE-A-1996-4447	
datercera	Disposición adicional tercera	1	19960301	19960227	BOE-A-1996-4447	
dacuarta	Disposición adicional cuarta	1	19960301	19960227	BOE-A-1996-4447	
daquinta	Disposición adicional quinta	1	19960301	19960227	BOE-A-1996-4447	
dasexta	Disposición adicional sexta	1	19960301	19960227	BOE-A-1996-4447	
dtprimera	Disposición transitoria primera	1	19960301	19960227	BOE-A-1996-4447	
dtsegunda	Disposición transitoria segunda	2	20180101	20171025	BOE-A-2017-12207	
dttercera	Disposición transitoria tercera	1	19960301	19960227	BOE-A-1996-4447	
dfunica-2	Disposición final única	1	19960301	19960227	BOE-A-1996-4447	
